EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-7, -3, 0, -2, 0, -2, -2, -5, 2021-08-24 19:10:40.782504
-3, 1, 0, -1, -2, -4, -3, 2, 2021-08-24 19:10:40.782504
1, -2, -4, -3, -3, -1, 2, -1, 2021-08-24 19:10:40.794496
-5, -1, -2, -2, 1, -1, -2, 0, 2021-08-24 19:10:40.795499
-4, -1, 0, 1, 0, 2, 0, -4, 2021-08-24 19:10:40.803496
2, 2, -1, 0, -2, -4, -3, -3, 2021-08-24 19:10:40.803496
2, 0, -2, -1, 0, -4, -5, -3, 2021-08-24 19:10:40.818494
-2, -2, -2, -1, -2, 0, -1, -3, 2021-08-24 19:10:40.818494
7, 2, 0, 0, -2, -1, 0, 5, 2021-08-24 19:10:40.819494
-12, -5, -1, 0, -2, 1, 1, -4, 2021-08-24 19:10:40.819494
4, -1, 0, 0, -1, -1, -1, 2, 2021-08-24 19:10:40.840488
-3, 1, -1, 1, 1, 0, 0, -4, 2021-08-24 19:10:40.840488
0, 0, 0, -2, -2, -2, -4, 0, 2021-08-24 19:10:40.842489
-6, -2, -1, -2, -2, -2, -1, -6, 2021-08-24 19:10:40.842489
-15, -6, -1, -1, 0, -1, -1, -4, 2021-08-24 19:10:40.854489
22, 5, 0, -3, 0, -2, 1, 6, 2021-08-24 19:10:40.854489
-2, 1, 0, -1, 1, -1, -2, -1, 2021-08-24 19:10:40.863485
-2, -2, -1, 0, -2, -3, -1, 1, 2021-08-24 19:10:40.863485
5, 1, -1, -1, -1, 2, 3, 0, 2021-08-24 19:10:40.878483
-5, -3, -2, 1, -2, -2, -2, 0, 2021-08-24 19:10:40.878483
-5, -2, -2, 0, -1, -1, 0, -7, 2021-08-24 19:10:40.879482
5, 2, -2, -1, 3, 3, 4, 6, 2021-08-24 19:10:40.879482
-2, -2, -1, -1, 0, -2, -1, -2, 2021-08-24 19:10:40.900478
-3, -2, 0, -1, -2, 0, -1, 1, 2021-08-24 19:10:40.900478
4, 1, -1, 0, -2, -4, -1, 0, 2021-08-24 19:10:40.901478
-6, -5, -1, 0, -1, -1, -4, -8, 2021-08-24 19:10:40.902481
1, 1, 0, -1, -1, -2, -1, 0, 2021-08-24 19:10:40.914476
-3, -1, -1, 0, -1, -1, 1, -3, 2021-08-24 19:10:40.914476
-5, -3, -1, -1, -1, 0, -1, 0, 2021-08-24 19:10:40.922475
3, 1, 1, -1, 0, -3, -3, 2, 2021-08-24 19:10:40.923474
3, -1, -1, 0, 0, -2, -4, -4, 2021-08-24 19:10:40.938473
-6, -2, -1, -1, -2, 0, -2, -4, 2021-08-24 19:10:40.938473
0, 0, 0, 0, 0, 0, 1, 2, 2021-08-24 19:10:40.939472
-6, -1, -2, 0, 0, -1, -2, -4, 2021-08-24 19:10:40.939472
3, 2, -1, -1, 0, -2, 1, 4, 2021-08-24 19:10:40.960471
-4, -1, -1, 0, 0, 2, -1, -4, 2021-08-24 19:10:40.960471
2, 1, 0, -2, -1, 0, 2, 6, 2021-08-24 19:10:40.962471
-3, -4, -1, -3, -3, -4, -2, 0, 2021-08-24 19:10:40.962471
-5, 0, -1, 0, -1, 0, -1, -2, 2021-08-24 19:10:40.974467
5, 2, 0, 0, 1, 0, -1, -3, 2021-08-24 19:10:40.974467
2, 1, -1, 0, 1, 1, 0, 2, 2021-08-24 19:10:40.983468
0, -3, -2, -2, -3, -5, -3, -1, 2021-08-24 19:10:40.983468
-6, -4, 0, 1, 2, 4, 0, -1, 2021-08-24 19:10:41.005498
1, 0, -1, -2, -2, -4, -1, 2, 2021-08-24 19:10:41.006495
-6, 0, 0, -1, 0, 0, -2, -6, 2021-08-24 19:10:41.007493
-1, -1, -1, -1, 0, -3, -2, -1, 2021-08-24 19:10:41.007493
-1, -2, -2, -1, -3, -1, -1, 1, 2021-08-24 19:10:41.027489
-2, -1, -2, -2, -1, 1, 1, 2, 2021-08-24 19:10:41.028490
1, -1, -3, 0, -1, -2, -2, -3, 2021-08-24 19:10:41.029490
-7, -3, -2, -1, -1, 2, 1, 1, 2021-08-24 19:10:41.029490
1, 0, -2, -1, -1, -1, -4, -6, 2021-08-24 19:10:41.033487
-1, -3, 0, 0, 0, 1, 0, 1, 2021-08-24 19:10:41.034487
-6, -3, -1, -2, -3, -2, -1, -1, 2021-08-24 19:10:41.050485
9, 4, 1, 0, -1, -2, 0, 0, 2021-08-24 19:10:41.050485
4, 1, -1, -2, -2, -1, 2, 9, 2021-08-24 19:10:41.057483
-5, -2, -1, -1, -1, -1, -1, -9, 2021-08-24 19:10:41.058483
-6, -3, -2, -2, -1, -2, 0, -1, 2021-08-24 19:10:41.059481
-8, -4, -2, 1, -1, 1, -1, -4, 2021-08-24 19:10:41.059481
-3, -3, -1, -1, 0, 1, 0, -3, 2021-08-24 19:10:41.080480
4, -1, -2, 0, -2, -1, -1, 1, 2021-08-24 19:10:41.080480
-1, -4, -3, -3, -5, -4, -5, -1, 2021-08-24 19:10:41.082480
4, 1, -1, 0, 0, -2, -1, 0, 2021-08-24 19:10:41.082480
-2, 0, 0, -1, 0, -2, -2, -3, 2021-08-24 19:10:41.111473
-6, -1, -1, 0, 1, 0, 0, 1, 2021-08-24 19:10:41.111473
2, -1, -2, 0, -2, -2, -5, -4, 2021-08-24 19:10:41.118471
-1, -2, -2, -3, -2, 1, 1, -1, 2021-08-24 19:10:41.118471
3, -1, 0, -1, -1, 0, -1, -1, 2021-08-24 19:10:41.119471
-10, -5, -1, -1, -2, -2, -2, -3, 2021-08-24 19:10:41.119471
8, 2, -2, -1, 0, 0, -1, 0, 2021-08-24 19:10:41.120470
3, 0, -2, -1, -1, -1, 1, -2, 2021-08-24 19:10:41.121472
-7, -1, -1, -1, -1, -2, -4, -3, 2021-08-24 19:10:41.140467
1, 2, 0, -3, -1, -5, -4, -3, 2021-08-24 19:10:41.140467
6, 1, 0, 0, 1, 1, 1, 3, 2021-08-24 19:10:41.141467
-9, -3, -1, 0, -2, -3, -4, -6, 2021-08-24 19:10:41.142470
3, 0, -1, 0, -2, -2, -2, -2, 2021-08-24 19:10:41.163463
4, 1, -1, 0, 0, 3, 3, 7, 2021-08-24 19:10:41.164465
1, 1, -2, -1, 0, 1, 0, -2, 2021-08-24 19:10:41.165463
-1, 1, 0, -1, 2, -1, -1, -1, 2021-08-24 19:10:41.165463
-6, -2, 1, -1, -1, -1, 0, -1, 2021-08-24 19:10:41.178462
3, -1, -2, 0, -2, -1, 0, -1, 2021-08-24 19:10:41.178462
0, 0, 1, 0, 1, 1, 1, 2, 2021-08-24 19:10:41.179461
-7, -4, -2, 0, -3, -1, -2, -4, 2021-08-24 19:10:41.179461
4, 0, -2, -1, -1, -3, -3, 0, 2021-08-24 19:10:41.200457
2, 0, 0, -1, 2, 2, 3, 2, 2021-08-24 19:10:41.200457
-1, 2, 0, 1, 0, 0, -1, -1, 2021-08-24 19:10:41.202456
-6, -1, 1, -1, -1, -1, 0, 0, 2021-08-24 19:10:41.202456
5, 1, 0, 1, -1, -1, -2, -4, 2021-08-24 19:10:41.222965
-3, 1, -1, -2, -3, -2, -1, -3, 2021-08-24 19:10:41.222965
-4, -4, -2, -2, -3, -4, -2, -1, 2021-08-24 19:10:41.223965
0, -1, -1, 0, 1, 1, -1, 1, 2021-08-24 19:10:41.224966
-6, -3, -3, -1, 0, 3, 4, 0, 2021-08-24 19:10:41.236999
19, 7, -1, 1, -1, 0, 1, 9, 2021-08-24 19:10:41.237967
-8, -3, 1, -1, 0, -1, -1, -5, 2021-08-24 19:10:41.243962
5, 1, -1, 0, -3, -2, -1, 0, 2021-08-24 19:10:41.243962
-8, -3, -2, 1, 0, -2, -2, -4, 2021-08-24 19:10:41.259958
-1, -3, -1, -4, -3, -4, -4, -6, 2021-08-24 19:10:41.260963
5, 3, 1, 0, 0, 2, 3, 5, 2021-08-24 19:10:41.261959
2, 1, -1, 0, 0, 0, 1, 3, 2021-08-24 19:10:41.261959
0, 0, -1, -1, -2, 0, 0, 1, 2021-08-24 19:10:41.282956
-8, -3, -3, -3, -2, -4, -5, -4, 2021-08-24 19:10:41.283954
0, -1, -3, -1, -1, 0, 2, 4, 2021-08-24 19:10:41.284956
-5, 0, 1, -2, 0, -3, -2, -11, 2021-08-24 19:10:41.284956
0, 0, 3, -1, 1, 0, 0, 1, 2021-08-24 19:10:41.304950
-9, -2, -1, 0, -1, 2, 0, -4, 2021-08-24 19:10:41.305952
-3, -2, -1, 0, -2, 2, 0, 1, 2021-08-24 19:10:41.306949
13, 2, -3, -1, -2, -1, 0, 6, 2021-08-24 19:10:41.306949
-2, -2, -1, -1, -1, -3, 1, 1, 2021-08-24 19:10:41.327945
