EMG_Pod01,EMG_Pod02,EMG_Pod03,EMG_Pod04,EMG_Pod05,EMG_Pod06,EMG_Pod07,EMG_Pod08,Timestamp
-2, -1, -1, -1, 1, -1, 8, 1, 2021-08-18 13:01:37.133411
0, 0, -2, -1, -2, 3, 1, -3, 2021-08-18 13:01:37.133411
-1, 1, -1, -1, 0, -4, 1, 1, 2021-08-18 13:01:37.134411
-2, -1, -2, -2, -3, 0, -3, -3, 2021-08-18 13:01:37.135412
-2, 0, -1, 0, 3, 0, -3, -1, 2021-08-18 13:01:37.147411
-1, -2, -1, -2, -1, 0, 1, 0, 2021-08-18 13:01:37.147411
-1, -2, -1, -2, -1, -1, 0, 1, 2021-08-18 13:01:37.154412
-1, -2, -2, -2, -2, 0, 1, -1, 2021-08-18 13:01:37.154412
0, 0, 1, -1, -3, -3, -2, 0, 2021-08-18 13:01:37.170411
-1, -1, 1, 1, -1, 1, -1, -2, 2021-08-18 13:01:37.171411
-3, -2, -1, 2, 0, 0, -1, -1, 2021-08-18 13:01:37.172412
-1, 1, 2, 0, 1, 2, 1, 5, 2021-08-18 13:01:37.172412
0, -1, -1, 0, -1, -2, -4, -4, 2021-08-18 13:01:37.193411
0, -1, -1, 0, -2, -4, -4, -2, 2021-08-18 13:01:37.194412
0, 1, -2, -4, -1, -3, -1, -1, 2021-08-18 13:01:37.194412
1, 0, -1, -1, -3, -4, -6, 0, 2021-08-18 13:01:37.195411
0, 1, -3, -1, 1, 2, 4, 0, 2021-08-18 13:01:37.223411
0, -2, -2, 0, -2, 3, 2, 2, 2021-08-18 13:01:37.223411
-1, 0, -2, 0, 1, -1, -1, -3, 2021-08-18 13:01:37.231411
0, -1, 1, -1, -2, -4, -1, -1, 2021-08-18 13:01:37.231411
-1, 0, -1, -2, -2, -1, -4, -3, 2021-08-18 13:01:37.232412
-2, -3, -2, -3, -2, -4, 2, -1, 2021-08-18 13:01:37.232412
0, -2, 2, 1, 3, 4, 6, 3, 2021-08-18 13:01:37.233412
0, -2, -1, 1, -1, -3, 0, -4, 2021-08-18 13:01:37.233412
-2, -2, 0, 0, -2, -3, -5, -2, 2021-08-18 13:01:37.253413
