EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Timestamp
1,-2,0,-2,0,0,0,1,2021-08-06 13:28:45.886217
-1,-1,-2,-3,-1,-1,-1,-1,2021-08-06 13:28:45.899217
-2,-1,0,1,-1,0,-1,-1,2021-08-06 13:28:45.899217
-1,0,-1,-1,0,0,0,-2,2021-08-06 13:28:45.907218
-1,0,-3,0,-2,-3,0,0,2021-08-06 13:28:45.907218
0,0,-2,-2,0,-1,-1,-1,2021-08-06 13:28:45.921218
0,-1,-1,-2,-1,0,-1,-1,2021-08-06 13:28:45.921218
-1,-1,-1,-3,-2,0,-1,0,2021-08-06 13:28:45.929219
0,-2,2,0,-1,-1,-1,-1,2021-08-06 13:28:45.929219
0,-1,0,1,-2,0,0,-1,2021-08-06 13:28:45.944218
-1,-1,-2,1,-1,-1,-1,-2,2021-08-06 13:28:45.945223
0,-1,1,-2,-3,-1,-3,0,2021-08-06 13:28:45.945223
-2,-2,-1,-1,0,0,-1,-2,2021-08-06 13:28:45.946219
-1,-2,-1,0,0,2,-2,-1,2021-08-06 13:28:45.958218
0,-1,0,-2,-1,0,-3,0,2021-08-06 13:28:45.959219
0,0,-2,0,-3,0,0,-1,2021-08-06 13:28:45.966220
-2,0,-2,0,-1,-1,-2,1,2021-08-06 13:28:45.967220
-1,0,-2,-2,-1,-1,0,-1,2021-08-06 13:28:45.981218
0,-2,0,0,0,-3,-2,-1,2021-08-06 13:28:45.981218
